Wavelength (nm),spheres,cubes,decahedra,rods
1028,-5.32E-04,0.01086,0.0361,0.01814
1029,0.00123,0.01098,0.03624,0.01807
1030,0.00175,0.01142,0.03636,0.01809
1031,-9.18E-04,0.01173,0.03528,0.01801
1032,4.37E-05,0.01195,0.03512,0.01795
1033,-0.00111,0.01136,0.03511,0.01789
1034,-0.00112,0.01101,0.03527,0.01786
1035,7.06E-04,0.01104,0.0355,0.01783
1036,8.30E-04,0.01031,0.03545,0.01779
1037,-0.00134,0.00929,0.03516,0.01772
1038,0.00331,0.00991,0.03525,0.01767
1039,3.24E-04,0.01028,0.03484,0.01762
1040,5.52E-04,0.0098,0.03506,0.01761
1041,0,0.01002,0.0375,0.01759
1042,5.44E-04,0.01096,0.03451,0.01755
1043,-0.00183,0.00923,0.03493,0.01748
1044,-0.00348,0.00968,0.03573,0.01743
1045,-0.00194,0.01034,0.0357,0.01735
1046,-7.57E-04,0.008,0.03385,0.01729
1047,2.99E-04,0.00879,0.03461,0.01724
1048,0.00127,0.01079,0.03475,0.01722
1049,0.00263,0.01079,0.03712,0.01715
1050,8.07E-04,0.0103,0.03466,0.01706
1051,-0.00168,0.00792,0.03579,0.01699
1052,-0.00152,0.01013,0.0338,0.01691
1053,3.99E-04,0.00989,0.03504,0.01684
1054,-9.58E-04,0.01069,0.03572,0.01675
1055,0.00407,0.01079,0.03607,0.01664
1056,0.00318,0.01094,0.03655,0.01656
1057,0.00228,0.00989,0.03484,0.01638
1058,-4.37E-05,0.00697,0.03841,0.01632
1059,8.99E-04,0.00964,0.03546,0.0161
1060,3.64E-05,0.01014,0.03364,0.01608
1061,0.00218,0.01075,0.0372,0.01589
1062,-0.00265,0.01053,0.03653,0.01576
1063,0.0011,0.01299,0.03424,0.01579
1064,0.00308,0.01312,0.03469,0.01567
1065,0.00299,0.0122,0.03482,0.01567
1066,0.00613,0.01196,0.03566,0.01551
1067,-1.57E-04,0.00946,0.03623,0.01566
1068,7.87E-04,0.00969,0.03799,0.01557
1069,0.00332,0.01394,0.03589,0.01568
1070,0.00364,0.01097,0.03761,0.01582
1071,-0.00155,0.01158,0.03579,0.01577
1072,0.00243,0.01259,0.04166,0.0158
1073,2.88E-04,0.01205,0.03907,0.01575
1074,0.00164,0.01479,0.04002,0.01579
1075,0.00349,0.01362,0.03699,0.01582
1076,0.00297,0.01216,0.03839,0.0159
1077,0.01614,0.01462,0.0401,0.01583
1078,-0.00145,0.01026,0.03757,0.01588
1079,0.00418,0.01532,0.04056,0.01579
1080,0.00226,0.01878,0.03646,0.01576
1081,0.00509,0.02068,0.04102,0.0157
1082,0.00877,0.01928,0.04217,0.01575
1083,0.01537,0.02483,0.03861,0.01573
1084,0.01548,0.02404,0.03852,0.01564
1085,0.01622,0.02188,0.04387,0.01567
1086,0.01009,0.02142,0.03982,0.0157
1087,0.0165,0.02337,0.04369,0.01569
1088,0.01888,0.02072,0.04432,0.0156
1089,0.01618,0.02326,0.04372,0.01559
1090,0.0193,0.02651,0.03898,0.01558
1091,0.00759,0.02387,0.04426,0.01547
1092,0.0153,0.02709,0.04508,0.0155
1093,0.01948,0.03396,0.05166,0.01554
1094,0.03395,0.03889,0.05008,0.01564
1095,0.03027,0.0353,0.04962,0.01553
1096,0.0187,0.03147,0.05207,0.0155
1097,0.03369,0.0353,0.05955,0.01547
1098,0.04298,0.03952,0.05377,0.01545
1099,0.03361,0.04373,0.05683,0.01547
1100,0.04561,0.04392,0.06023,0.01545
