Wavelength (nm),spheres,cubes,decahedra,rods
544,1.7756,2.53861,0.70223,0.09084
545,1.72144,2.54182,0.7092,0.08976
546,1.66792,2.53821,0.71574,0.08874
547,1.61383,2.53141,0.72217,0.08781
548,1.56119,2.51999,0.72874,0.08683
549,1.51008,2.5044,0.73499,0.08591
550,1.45868,2.4836,0.7417,0.08508
551,1.40844,2.4565,0.74798,0.08431
552,1.35916,2.42696,0.75458,0.08349
553,1.31114,2.39395,0.76101,0.08285
554,1.26548,2.35982,0.76746,0.08217
555,1.22039,2.32116,0.77414,0.08151
556,1.17715,2.27997,0.78036,0.08098
557,1.13531,2.23562,0.78719,0.08042
558,1.0943,2.18948,0.79427,0.0799
559,1.05557,2.14182,0.80095,0.07941
560,1.01728,2.09262,0.80802,0.07892
561,0.98119,2.0427,0.8153,0.07851
562,0.94655,1.99053,0.82248,0.07817
563,0.91305,1.94037,0.82976,0.07778
564,0.88059,1.88769,0.83712,0.07746
565,0.84957,1.83594,0.84461,0.07718
566,0.81935,1.78565,0.85233,0.07696
567,0.79068,1.73487,0.85983,0.07682
568,0.76361,1.68516,0.8675,0.07665
569,0.7366,1.63374,0.87539,0.07653
570,0.71155,1.58406,0.88305,0.07642
571,0.68749,1.53702,0.8911,0.07632
572,0.66454,1.49028,0.89891,0.07625
573,0.64141,1.44198,0.9064,0.07626
574,0.62034,1.39742,0.91408,0.07627
575,0.60059,1.35516,0.92164,0.07635
576,0.58007,1.31122,0.92916,0.07646
577,0.56093,1.26902,0.9363,0.0765
578,0.54324,1.23045,0.94323,0.07669
579,0.52587,1.19214,0.9498,0.07688
580,0.50876,1.15369,0.95609,0.07704
581,0.49233,1.11609,0.96277,0.07742
582,0.47799,1.08326,0.96844,0.07767
583,0.46306,1.04998,0.97399,0.07796
584,0.44805,1.01568,0.97892,0.07832
585,0.43464,0.98415,0.98293,0.07867
586,0.42215,0.95532,0.98762,0.07908
587,0.40889,0.92512,0.99097,0.07956
588,0.39703,0.89803,0.99413,0.07996
589,0.38502,0.87104,0.99649,0.08045
590,0.37404,0.84496,0.9981,0.08098
591,0.36306,0.82027,0.9995,0.08154
592,0.35233,0.79535,1,0.08212
593,0.343,0.77319,0.99987,0.08278
594,0.33361,0.75152,0.99914,0.08334
595,0.32438,0.73,0.99745,0.08402
596,0.31523,0.70981,0.99563,0.08469
597,0.30671,0.6901,0.99234,0.08549
598,0.29832,0.67161,0.98862,0.08611
599,0.29038,0.65329,0.98459,0.08695
600,0.2829,0.63621,0.97992,0.08787
601,0.27521,0.61962,0.97408,0.08879
602,0.26785,0.60343,0.96759,0.08966
603,0.2612,0.5879,0.96098,0.0906
604,0.25462,0.57342,0.95389,0.09157
605,0.24796,0.55857,0.94547,0.09259
606,0.24223,0.54511,0.93674,0.09361
607,0.23607,0.53153,0.92724,0.09481
608,0.23021,0.51901,0.91768,0.09592
609,0.22469,0.50631,0.90772,0.09709
610,0.21926,0.49433,0.89708,0.09833
611,0.21398,0.48279,0.88688,0.09958
612,0.20902,0.47151,0.87573,0.10093
613,0.20396,0.46056,0.86414,0.1023
614,0.19948,0.45043,0.85229,0.10382
615,0.1946,0.43982,0.83998,0.10527
616,0.19059,0.43001,0.82795,0.10682
